pathway,pval,padj,log2err,ES,NES,size,leadingEdge,neg_log10_padj,is_sig
HALLMARK_E2F_TARGETS,5.222089181021759e-18,2.6110445905108797e-16,1.0959292864312,-0.527522801561528,-2.50664110679201,199,CDKN2A|CENPM|MYBL2|MXD3|BIRC5|TK1|SPC25|CDC20|SPC24|TCF19|KIF4A|NME1|RRM2|KIF2C|PLK1|POLA2|PTTG1|MCM5|MCM4|DSCC1|STMN1|HMGB3|DEPDC1|KIF18B|AURKB|E2F8|POLD1|CDKN2C|CDCA3|H2AX|JPT1|TUBG1|MCM6|UBE2S|CCNB2|CDKN3|AURKA|CDC25A|MCM3|RANBP1|CHEK1|CDK1|DCTPP1|SPAG5|HELLS|SNRPB|TUBB|TACC3|TRIP13|TIMELESS|DDX39A|GINS1|MCM2|ASF1B|SHMT1|H2AZ1|DONSON|LMNB1|PA2G4|XRCC6|POLE4|MELK|CDC25B|NOP56|KPNA2|KIF22|EZH2|CKS2|RACGAP1|CDCA8|UBE2T|CCNE1|MAD2L1|CHEK2|NASP|HMMR|SUV39H1|MKI67|RFC2|LIG1|RAD51C|MMS22L|MCM7|PHF5A|MSH2|TBRG4|RPA2|ZW10|NAA38|DLGAP5|RFC1|PRKDC|DNMT1|TIPIN|POLD2|ORC6|GINS3|HMGB2|PRPS1|ATAD2|EXOSC8|MLH1|CNOT9|POP7|PSMC3IP|BRCA1|LYAR,15.583185711383695,True
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,3.8128535911945206e-15,9.5321339779863e-14,0.996986217533181,0.587632470590855,2.15575566257016,199,LAMA2|THBS2|SFRP1|LUM|DCN|TNFRSF11B|IL6|ELN|SLIT2|MXRA5|GAS1|RGS4|PMEPA1|FBLN2|FOXC2|TFPI2|CXCL8|SFRP4|LAMA1|LAMC2|CDH11|PRRX1|SGCD|GEM|VCAN|CXCL1|FMOD|PTHLH|COL16A1|FAP|COL12A1|FBN2|MMP2|COL8A2|ECM1|COL3A1|POSTN|CXCL12|CDH6|PMP22|TNC|COL5A1|MGP|FBN1|COMP|ABI3BP|INHBA|MFAP5|FBLN1|DPYSL3|COL1A2|ADAM12|SCG2|LOXL1|SLIT3|NID2|BASP1|GJA1|BGN|OXTR|CRLF1|COL1A1|GREM1|COL11A1|APLP1|AREG|QSOX1|FBLN5|CTHRC1|SERPINE2|FZD8|COL4A1|COL6A3|VEGFC|EDIL3|GPX7|WIPF1|COL4A2|BDNF|FAS|MSX1|CXCL6|LOXL2|FSTL1|NTM|MATN2|CD44|ACTA2|FSTL3|THBS1|LRRC15|ITGA2|EFEMP2,13.020809862098638,True
HALLMARK_OXIDATIVE_PHOSPHORYLATION,3.84633802884764e-13,6.4105633814127395e-12,0.932595211336209,-0.470765894318616,-2.23854767768244,197,GPX4|ATP5MC1|TIMM8B|UQCR10|NDUFA2|NDUFB8|NDUFB7|NDUFS7|POLR2F|TIMM13|NDUFA3|NDUFS6|NDUFV1|COX6C|NDUFS4|NDUFS8|COX17|COX8A|UQCRH|MRPS12|ATP6AP1|ECH1|UQCRB|ECI1|UQCRQ|UQCR11|ATP6V0B|NDUFAB1|NQO2|TIMM50|ATP5ME|HSD17B10|CYC1|NDUFA1|ATP5F1D|NDUFA9|SDHB|FH|COX7C|NDUFB1|ATP5PD|COX6B1|ATP5MC2|NDUFB6|TIMM10|NDUFS2|MRPL11|ATP5MF|CYB5A|DECR1|MRPS15|NDUFA6|ATP5F1E|RHOT2|TIMM17A|UQCRC1|COX5B|TOMM22|HTRA2|ATP5PO|COX6A1|ALAS1|MDH1|ACAT1|COX7B|ATP6V1H|ETFB|COX7A2|ATP5PF|SLC25A12|ATP5MC3|ATP5F1C|COX5A|HSPA9|MRPL34|DLAT|MRPS11|NDUFB3|ATP6V1F|NDUFC1|ATP5PB|TCIRG1|COX4I1|IDH3G|AIFM1|ATP5MG|FDX1|ATP6V1C1|NDUFB2|IMMT|SDHA|PMPCA|NDUFA8|SLC25A3|MGST3|ACO2|SLC25A6|GPI|ACAA2|HADHA|MTX2|ATP6V1D|IDH1|GOT2|LDHA|BAX|COX15|SUPV3L1|NDUFC2|SLC25A20|OAT|CASP7|ACAA1|SURF1|MRPL15|ACADVL|ATP6V0E1|IDH2,11.19310380157524,True
HALLMARK_INFLAMMATORY_RESPONSE,2.36211763097269e-12,2.9526470387158595e-11,0.898671232061694,0.565085124803723,2.06110262219782,189,PCDH7|TNFAIP6|IL6|TPBG|HAS2|TNFSF15|CXCL8|EREG|LPAR1|GABBR1|IL7R|OSM|LAMP3|ADGRE1|ITGB8|SELE|ADORA2B|APLNR|CCL22|RASGRP1|CCR7|IL10|OLR1|KCNA3|FPR1|CD69|SELL|PTGER2|PDPN|LIF|GPR132|CCL2|NLRP3|KCNJ2|INHBA|IL18R1|OSMR|LTA|SLAMF1|HBEGF|IFITM1|PTAFR|CYBB|PTGIR|GPR183|LCP2|IL1B|CALCRL|AXL|PIK3R5|PTGER4|CD48|RGS16|PTPRE|TLR1|VIP|RGS1|BTG2|IL18|TLR3|C3AR1|CXCL6|SEMA4D|IL2RB|SLC4A4|CXCR6|CSF3R|CCRL2|GP1BA|EDN1|MSR1|CDKN1A|FFAR2|C5AR1|PLAUR|CXCL9|ICOSLG|SLC1A2|P2RX7|CCL5|F3|LCK|EBI3|IL10RA|CLEC5A|HRH1|NFKB1|NMUR1|CXCL10|CSF1|HIF1A|CHST2|MARCO|RTP4|ABI1,10.52978846576767,True
HALLMARK_TNFA_SIGNALING_VIA_NFKB,8.882085428318549e-12,8.882085428318549e-11,0.875325132024659,0.548328160582669,2.00631448784819,195,TNFAIP6|EGR3|F2RL1|IL6|PTGS2|FOSB|GFPT2|PMEPA1|EGR2|GEM|IL7R|CXCL1|CXCL3|TNF|FOS|FUT4|OLR1|FOSL1|BCL2A1|CD69|CD80|LIF|TNC|PFKFB3|CCL2|LAMB3|ACKR3|REL|SOCS3|INHBA|SLC2A3|EGR1|NFAT5|HBEGF|DUSP2|AREG|GPR183|DUSP4|IL1B|CD83|PTGER4|PTPRE|NR4A1|BTG2|IL18|SLC2A6|TIPARP|CXCL6|CCL4|CD44|CCRL2|KLF10|CCND1|KDM6B|JAG1|CXCL2|KLF4|EDN1|KLF2|PTX3|ATF3|CDKN1A|PLAUR|ICOSLG|CCL5|F3|NR4A3|TNFAIP2|TNFAIP3|ZFP36|PLEK|B4GALT5|CCNL1|IL23A|NFKB1|CXCL10|CSF1|TSC22D1|GADD45B|MXD1|SGK1|FOSL2|ID2|PLK2|PLAU|G0S2|IFNGR2|DUSP1|IFIT2|PLPP3|MAFF|CXCL11|PDLIM5|BTG3|ICAM1|BTG1|SLC16A6|IL6ST,10.051485054077348,True
HALLMARK_MYC_TARGETS_V1,1.69905870022965e-11,1.4158822501913801e-10,0.863415391606693,-0.446118355971582,-2.11606461883885,200,CDC45|CDC20|NME1|MCM5|MCM4|LSM2|SNRPA|FBL|RUVBL2|MCM6|TXNL4A|NHP2|HSPE1|SRM|LSM7|RANBP1|RRP9|RFC4|PSMC4|PSMB3|MRPL23|RPL18|EXOSC7|SNRPD2|PRPF31|CCT3|RPS5|IMPDH2|NDUFAB1|COPS5|MCM2|PPM1G|PHB1|RPL14|CYC1|HPRT1|H2AZ1|CSTF2|PA2G4|XRCC6|RACK1|TRIM28|NOP56|KPNA2|PSMD3|SNRPG|PSMD8|HDGF|TUFM|MAD2L1|PABPC1|KARS1|MRPS18B|HSPD1|RPLP0|EIF3B|EIF3D|CAD|SNRPD1|EIF2S2|MCM7|CCT7|GLO1|EEF1B2|RPS3|CCNA2|PSMB2|COX5A|APEX1|RPS2|RPL6|PSMD14|POLD2|KPNB1|RNPS1|TARDBP|NPM1|RPL34|PSMA4|MRPL9|SLC25A3|GNL3|SNRPA1|SF3A1|PSMA7|AIMP2|GOT2|LDHA|VBP1|HSP90AB1|HNRNPD|RSL1D1|NAP1L1|HNRNPA3|AP3S1|CTPS1|SSBP1|PSMD1|POLE3|RRM1|PRDX4|UBE2L3|PSMA6|SNRPD3|NOP16|CANX|PGK1|SRSF2|DUT|TFDP1|PABPC4|RPS6|SMARCC1|PPIA|HNRNPA2B1|CCT2|ERH|SERBP1,9.848972862619755,True
HALLMARK_G2M_CHECKPOINT,2.1260450999510097e-11,1.51860364282215e-10,0.863415391606693,-0.445868544380144,-2.12015782498106,197,CDC45|E2F1|MYBL2|BIRC5|CDC20|EXO1|CENPA|EGF|KIF4A|RAD54L|TROAP|SQLE|KIF2C|PLK1|POLA2|PTTG1|MCM5|STMN1|GINS2|HMGB3|AURKB|CDKN2C|H2AX|JPT1|E2F2|CHAF1A|CDC6|MCM6|CCNF|UBE2S|NEK2|CCNB2|UBE2C|CDKN3|DTYMK|AURKA|CDC25A|KIF15|MCM3|TRAIP|TTK|CHEK1|SAP30|CDK1|NDC80|TACC3|DDX39A|MCM2|BUB1|H2BC12|H2AZ1|LMNB1|CDC25B|KPNA2|KIF22|HMGN2|CBX1|EZH2|CDC7|CKS2|RACGAP1|MAD2L1|NASP|HMMR|TPX2|POLQ|SUV39H1|MKI67|KMT5A|SNRPD1|SLC7A5,9.81855556267247,True
HALLMARK_UV_RESPONSE_DN,7.58692869519639e-07,4.74183043449774e-06,0.659444398037935,0.516936240726173,1.86209785642428,143,MMP16|AMPH|EFEMP1|HAS2|RGS4|LPAR1|IGF1R|PLCB4|ADORA2B|COL3A1|INPP4B|AKT3|PMP22|VLDLR|IGFBP5|KIT|LTBP1|CELF2|COL1A2|GJA1|COL1A1|COL11A1|PRKAR2B|MAP1B|PTPRM|FBLN5|ICA1|MAGI2|DLC1|FZD2|BDNF|SMAD7|TOGARAM1|PRKCE|CDON|SYNE1|NRP1|SYNJ2|RUNX1|ATP2B4|F3|RND3|MT1E|NFIB|NFKB1|FHL2|PIK3CD|KALRN|ABCC1|ZMIZ1|RASA2|ANXA4|TJP1|PDGFRB|DUSP1|CAV1|PLPP3|DLG1|ATRX|NOTCH2|PDLIM5|SCN8A|ERBB2|DAB2|SCAF8|RBPMS|ID1|BHLHE40|SERPINE1|CDC42BPA|SMAD3|TGFBR2|SCHIP1|GRK5|PRDM2|BMPR1A|ATXN1|ADD3|YTHDC1|MYC|PIAS3|MRPS31|COL5A2|ATRN|FYN,5.32405398023523,True
HALLMARK_ALLOGRAFT_REJECTION,1.38085288026592e-06,7.67140489036622e-06,0.643551836150722,0.484678963158583,1.76620458526697,188,IL6|EREG|IRF4|TNF|HDAC9|ITK|CCL22|CCL11|IL10|TRAT1|CRTAM|F2R|HLA-DQA1|CD80|CCR5|LIF|CCL2|NLRP3|TGFB2|CD40LG|PTPRC|INHBA|IL2RA|CCND2|CD8A|ACHE|ELF4|CD28|LCP2|IL1B|KLRD1|FYB1|CD3G|GPR65|CCR2|STAT4|TLR1|CCL19|IL27RA|CXCR3|IL18|ETS1|FAS|SIT1|TLR3|IRF8|CCL4|IL11|LY86|IL2RB|SOCS5|LTB|PRKCB|FCGR2B|CD79A|CD3E|CD2|CFP|CD86|FASLG|CCR1|CD247|HLA-DOA|CD96|CXCL9|ICOSLG|SRGN|CCL5|EGFR|JAK2|CAPG|ZAP70|LCK|INHBB|IFNG|CTSS|CSF1|HIF1A|IGSF6|ABI1|TLR6|GZMA|HLA-DMB|IL16|IFNGR2|IL18RAP|ST8SIA4|ICAM1|TIMP1|CD7|SPI1|HCLS1|TGFB1|IL7|HLA-DRA,5.115125094947738,True
HALLMARK_KRAS_SIGNALING_UP,2.00294444550094e-06,1.00147222275047e-05,0.627256739718528,0.481366118370053,1.75738795365085,190,ALDH1A3|TMEM100|GALNT3|ADAMDEC1|F2RL1|PTGS2|GFPT2|IGF2|EREG|PRRX1|IL7R|SNAP25|ADGRA2|IL33|HDAC9|ITGBL1|EMP1|GUCY1A1|SPON1|LIF|PLAT|TNNT2|APOD|ETV4|INHBA|CCND2|TMEM158|PTPRR|GPRC5B|HBEGF|PEG3|EPB41L3|BTC|IL1B|TLR8|RGS16|AKAP12|IKZF1|PRDM1|HKDC1|TPH1|MMP11|ETS1|ALDH1A2|DOCK2|C3AR1|IRF8|MAP7|CAB39L|ANO1|PDCD1LG2|ADAM17|ETV1|ITGA2|KLF4|MALL|CSF2RA|ADGRL4|MMD|NRP1|PLAUR|GPNMB|CXCR4|ANXA10|RBM4|MAP3K1|TNFAIP3|FLT4|ACE|IL10RA|CTSS|CXCL10|DUSP6|SOX9|MPZL2|CD37|ID2|CMKLR1|PLAU|CROT|PECAM1|KCNN4|G0S2|ETV5|STRN|AMMECR1|NGF,4.999361091975488,True
HALLMARK_XENOBIOTIC_METABOLISM,3.16472529900608e-06,1.43851149954822e-05,0.627256739718528,-0.358780327378439,-1.69474159491284,196,FETUB|CCL25|ITIH4|TAT|TMEM97|CYP1A1|UPB1|HRG|DCXR|AOX1|APOE|PC|CYP4F2|CDA|CYP17A1|ARG2|RBP4|PTGR1|IGFBP1|GNMT|HNF4A|PYCR1|XDH|PEMT|LONP1|CYP2C18|SLC35B1|CBR1|CES1|PMM1|CDO1|ACSM1|DHPS|ANGPTL3|UGDH|DHRS1|CD36|FABP1|HES6|DDC|GCNT2|ECH1|F10|ITIH1|HACL1|BLVRB|AP4B1|GSTO1|CYP27A1|VTN|REG1A|AKR1C3|HPRT1|GSTM4|SHMT2|ACOX2|DDAH2|PGD|TMEM176B|SLC6A12|NMT1|AHCY|ALDH2|ABHD6|CYP2J2|CYP1A2|CYB5A|KYNU|PAPSS2|EPHX1|ALDH3A1|SERPINA6|AKR1C2|KARS1|ALAS1|GSS,4.842086661983336,True
