clinical_variable,n_group0,n_group1,median_group0_adjusted,median_group1_adjusted,median_group1_minus_group0_adjusted,p_value_mannwhitney_adjusted,track
hcv_status,49,19,0.07867462256829781,0.09910561616874643,0.020430993600448616,0.0011424127353503,FOXA2+ score
hbv_status,25,43,0.08781477774389507,0.0712643537623817,-0.016550423981513365,0.0179920175628769,FOXA2- score
hcv_status,49,19,0.07058369745659582,0.09252084651627124,0.02193714905967542,0.0003607676481287,FOXA2- score
