gene,logFC,AveExpr,t,pvalue,padj,B
ENSG00000145555.15,0.154190135043404,5.86430463281513,4.86830212848931,1.93809960565778e-06,0.0212181623711659,4.37756829692986
ENSG00000111432.4,0.603496523931918,3.94207493416964,4.85110467077726,2.09893781493381e-06,0.0212181623711659,3.33040500989449
ENSG00000063244.13,-0.0444489410581338,6.41445377125298,-4.74071204629655,3.48345107078522e-06,0.0234761379163785,3.51028914001834
ENSG00000172927.8,0.532674016554944,4.46578923160627,4.57395304124805,7.36089755202493e-06,0.03720565667671,3.15428018276676
