gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000111432.4,2.23830279789564,0.518007295095155,0.153775626468071,3.36859167471973,0.000755532667210348,0.99998792680436
ENSG00000157423.18,2.12342018462493,0.585644876330332,0.191100600567607,3.06458940783467,0.00217969012814234,0.99998792680436
ENSG00000176884.16,1.71011697513504,0.566826426647515,0.18655306536416,3.03841925910488,0.00237822825252849,0.99998792680436
ENSG00000197506.8,2.01029575707502,0.682960913550433,0.225711300714249,3.02581621473646,0.00247962972060288,0.99998792680436
ENSG00000211935.3,3.31618783985534,0.625516456611757,0.208687659882683,2.99738114349167,0.00272310021225089,0.99998792680436
ENSG00000064270.13,2.12426334802037,0.541103061291123,0.184059128306317,2.93983279324568,0.00328389407265465,0.99998792680436
ENSG00000172927.8,3.40299214000472,0.444152039646932,0.152337559199942,2.91557802277759,0.00355030323930173,0.99998792680436
ENSG00000135925.9,2.83793302255354,0.387039880137669,0.13331427029753,2.90321418160169,0.00369353940965365,0.99998792680436
ENSG00000149256.16,2.89282645702854,0.386907544478016,0.134731312754175,2.87169728082403,0.00408273857577674,0.99998792680436
ENSG00000229155.1,1.97261819668218,0.47528207256801,0.17107112094016,2.77827180856705,0.00546488828504212,0.99998792680436
ENSG00000280837.1,2.35592835359121,-0.576439487713215,0.207853861495295,-2.77329217540788,0.00554922727276076,0.99998792680436
ENSG00000185483.12,4.52959850425039,0.294179268607789,0.106357358264611,2.76595125535074,0.00567570179273383,0.99998792680436
ENSG00000036828.17,2.32114951898407,0.582483924416832,0.212010242580345,2.74743294157635,0.0060063790122757,0.99998792680436
ENSG00000183778.17,2.11119750096339,0.602094729444173,0.220385393494009,2.73200832368475,0.0062949550594381,0.99998792680436
ENSG00000175832.13,7.60197102904709,0.222590400246603,0.0814812984953125,2.7317974106587,0.0062989860327815,0.99998792680436
ENSG00000232810.4,2.92302985843645,0.343096486539327,0.126433499075559,2.71365175406785,0.0066546081002686,0.99998792680436
ENSG00000233608.4,2.70601788065888,0.470620660987389,0.17486407871304,2.69135127380677,0.0071163220462051,0.99998792680436
ENSG00000102962.5,3.63937351543032,0.308855427391293,0.115353773691766,2.67746270890607,0.0074182109825504,0.99998792680436
ENSG00000275465.7,1.1305015148773,0.874935425136658,0.328547461688605,2.66304119544809,0.0077437933200499,0.99998792680436
ENSG00000141434.12,2.09813187137732,0.513370020933926,0.193618369665114,2.65145307143046,0.00801462498250537,0.99998792680436
ENSG00000235510.1,2.27409690964492,-0.537405050060079,0.202918383908194,-2.64838029807697,0.00808784857008146,0.99998792680436
ENSG00000268041.2,2.05851674935995,0.455399011962435,0.172103868850995,2.64607074206282,0.00814327846617744,0.99998792680436
ENSG00000231292.6,1.874959265943,0.509039370927004,0.192472755655747,2.64473467526731,0.00817549941087271,0.99998792680436
ENSG00000211639.2,1.67855027271512,0.699557550224267,0.265464535759899,2.63522036275681,0.00840826759397951,0.99998792680436
ENSG00000255642.1,2.64522385491348,0.355986294292804,0.135284832918441,2.63138362677668,0.00850379850476868,0.99998792680436
ENSG00000172156.4,2.22605459567222,0.496249017291735,0.188688865305307,2.62998569888468,0.00853884601491878,0.99998792680436
ENSG00000148948.8,2.59239586780084,0.396598758392603,0.151477400718591,2.61820414471852,0.00883939056310757,0.99998792680436
ENSG00000127249.15,1.86749709317061,0.481634615469159,0.184167818001866,2.61519423260082,0.00891767271979655,0.99998792680436
ENSG00000143194.13,3.37488117603669,0.40097516991072,0.153742540052982,2.60809512951027,0.00910476474885623,0.99998792680436
ENSG00000006377.11,1.56266952012078,-1.04902567829384,0.402678576191018,-2.60511917027395,0.00918423097213982,0.99998792680436
ENSG00000142149.9,5.45274148653781,0.255524838328189,0.0981455026208734,2.60353079361422,0.00922689784271655,0.99998792680436
ENSG00000163817.16,1.81376615735245,0.593366983915628,0.228126377982223,2.6010450398764,0.00929402509730083,0.99998792680436
ENSG00000001626.16,3.47207943765685,0.554357527989993,0.214843187318248,2.58028906994765,0.00987176424469063,0.99998792680436
ENSG00000135914.6,3.90482504983554,0.292564254077201,0.114212609043363,2.56157578859023,0.0104198504053127,0.99998792680436
ENSG00000100167.20,4.37067327570005,0.271205303939112,0.105955104838089,2.55962470476097,0.0104785253632058,0.99998792680436
ENSG00000124102.5,3.79724722560842,0.431934554523575,0.169523600493523,2.54793169367635,0.0108363686549058,0.99998792680436
ENSG00000262585.1,2.23198475215786,0.439814409908241,0.173173012534678,2.53973990214074,0.0110934934525712,0.99998792680436
ENSG00000182795.13,5.07505477959941,0.276004367892183,0.10882945417009,2.53611827787738,0.0112088868899176,0.99998792680436
ENSG00000182013.18,3.23012174707449,0.401448663257851,0.158559576124368,2.53184748011038,0.0113463332965569,0.99998792680436
ENSG00000178965.14,2.44033011132069,0.359793274835465,0.142236430772095,2.52954375248604,0.0114210933343036,0.99998792680436
ENSG00000101115.13,4.89523814281986,0.300052665234769,0.118728546803177,2.52721584921092,0.0114970817509287,0.99998792680436
ENSG00000181634.8,5.10175879815048,0.244488654622306,0.0969821055601822,2.52096665885016,0.0117032940569242,0.99998792680436
ENSG00000235269.2,3.41231048243576,0.357704074829688,0.142214013514555,2.51525195013977,0.0118947346010415,0.99998792680436
ENSG00000204876.4,4.45422060834812,0.321856935413187,0.128801787467265,2.49885457136988,0.0124595430252372,0.99998792680436
ENSG00000226864.2,2.97493570861872,-0.362601963278687,0.145359725686023,-2.49451463648128,0.0126129524572027,0.99998792680436
ENSG00000177359.20,1.54062103812878,0.511493230026545,0.20604967305128,2.48237826564883,0.013050865220616,0.99998792680436
ENSG00000211648.2,4.32885056917037,0.412476315119395,0.166487985465622,2.47751400178103,0.0132301217639901,0.99998792680436
ENSG00000130700.7,2.30990739056712,0.642123693914932,0.260013003877197,2.46958299908033,0.0135270634335259,0.99998792680436
ENSG00000211598.2,5.71146869008678,0.34264878288539,0.139217885809028,2.46124110342703,0.0138457285775952,0.99998792680436
ENSG00000136944.19,1.67974648387122,0.624639169628481,0.253799163325477,2.46115535387889,0.0138490383886513,0.99998792680436
ENSG00000224041.3,1.50219411637053,0.732392866611166,0.298191376950438,2.45611685388507,0.014044747989951,0.99998792680436
ENSG00000100170.10,2.63922397539599,0.548991238917627,0.224534454789985,2.44502002791116,0.0144844098293426,0.99998792680436
ENSG00000182183.15,3.20186711607294,0.306196769094147,0.125494489447949,2.4399220271831,0.0146904323305955,0.99998792680436
ENSG00000255571.9,3.36672577272952,0.329396756885448,0.135692561565359,2.42752257813917,0.0152023405651365,0.99998792680436
ENSG00000183742.13,3.35570463444666,0.332281047461211,0.137015346262358,2.42513745011421,0.0153025917833779,0.99998792680436
ENSG00000146555.19,5.08322346695778,0.254477956408815,0.105184785419887,2.41934187908417,0.0155486190210668,0.99998792680436
ENSG00000103888.17,6.09973204945251,0.216596823190486,0.089875231394217,2.40997235645975,0.0159537292681618,0.99998792680436
ENSG00000018625.15,4.87303231539288,0.245235391972695,0.101785700831363,2.40933048522206,0.0159818185047698,0.99998792680436
ENSG00000211967.3,2.37025267419265,0.572618220566161,0.238108593640943,2.40486162977235,0.0161785902739173,0.99998792680436
ENSG00000276775.1,2.71108255605628,0.560260922619648,0.233051157113066,2.40402549191307,0.0162156424791693,0.99998792680436
ENSG00000150556.17,2.4280793757427,0.522193386941975,0.217571958247379,2.40009508186823,0.0163908137075066,0.99998792680436
ENSG00000224373.3,4.34243877884186,0.428599206701489,0.179287477391466,2.39056967579316,0.0168222568726073,0.99998792680436
ENSG00000232721.2,5.21871469757933,-0.310692067705734,0.129979224706134,-2.39032097943475,0.0168336536078887,0.99998792680436
ENSG00000184697.7,1.75133747662913,0.433097494991512,0.181567701882064,2.38532233707968,0.017064162406145,0.99998792680436
ENSG00000184949.16,2.99426985688834,0.304345108206933,0.128083363988409,2.37614861704035,0.0174944150016045,0.99998792680436
ENSG00000226652.3,1.92981705613885,0.382074955513576,0.160797502681844,2.3761249344124,0.0174955379272245,0.99998792680436
ENSG00000211668.2,4.31297868167204,0.375073360912852,0.157969662206238,2.37433793093242,0.0175804522302434,0.99998792680436
ENSG00000132465.12,6.68173263232808,0.222072523479314,0.0938727383055212,2.36567641988401,0.0179971664014035,0.99998792680436
ENSG00000142235.12,4.51011985085791,0.262859176265947,0.111399528979243,2.35960760942648,0.0182942741694573,0.99998792680436
