gene,logFC,AveExpr,t,pvalue,padj,B
ENSG00000211935.3,0.65693195967944,4.21230227122221,5.62824378887821,4.66026054571809e-08,0.000945054236066171,7.41111902302524
ENSG00000111432.4,0.606234506197654,3.96880824525763,4.68366643893797,4.52210864353381e-06,0.0458519205911111,1.98812176478954
ENSG00000036828.17,0.759538113865998,3.84783604544032,4.53187546919547,8.88237304624418e-06,0.0600418810015953,1.20463411596949
ENSG00000226278.1,0.624737992789317,4.83631216054912,4.26094547188493,2.83843464537891e-05,0.126406390420149,2.26332277442925
ENSG00000224041.3,0.614565685755429,3.19618196009072,4.23855198210369,3.11668204596255e-05,0.126406390420149,-0.0489300180025083
ENSG00000101115.13,0.457654721485756,5.01673688798182,4.10854799577943,5.32289684431851e-05,0.179802086709274,1.69773980707748
ENSG00000181634.8,0.217185648484747,5.25655434465636,4.05432889527629,6.62842692945958e-05,0.179802086709274,1.49757277330983
ENSG00000102962.5,0.236856292439262,4.75825499531575,4.03346038465598,7.20792988107727e-05,0.179802086709274,1.35648279999691
ENSG00000137942.17,0.0508782769992676,6.14331284989515,3.91219005828769,0.000116520054185564,0.179802086709274,0.349998897005511
ENSG00000006611.17,0.595414938178116,4.83924070322893,3.90143234142734,0.000121523857460464,0.179802086709274,0.942180304148189
ENSG00000141994.16,-0.0501818312798897,6.05293621226071,-3.89584033536362,0.000124204722334607,0.179802086709274,0.41515976222946
ENSG00000163075.13,0.371110869668253,4.95150836015172,3.89328620614759,0.000125447763759297,0.179802086709274,0.910900715084831
ENSG00000197506.8,0.596101553315288,3.6447574363897,3.8793864552732,0.000132421836160906,0.179802086709274,-0.468863588799941
ENSG00000124171.9,0.0749454531984264,5.86773162955946,3.8765171969667,0.00013390649626356,0.179802086709274,0.483926048806698
ENSG00000118322.14,0.670655772256667,3.7662311806596,3.86770142773022,0.000138567399540613,0.179802086709274,-0.482680974374333
ENSG00000127445.14,-0.0512917919302942,6.19488478955958,-3.86163656673094,0.000141862684912885,0.179802086709274,0.162278165899875
ENSG00000124787.14,-0.0892253746432244,5.82863487353619,-3.83795193655443,0.000155456161318771,0.185440911493139,0.503016542547304
ENSG00000232810.4,0.254762442231199,4.52256763267299,3.79211178294324,0.000185341387129182,0.190095142332569,0.31430455776005
ENSG00000187951.11,0.165810100895755,5.26015398041257,3.79088916126857,0.000186208380272877,0.190095142332569,0.591009336510704
ENSG00000184967.7,-0.0498748041934692,6.10050298929316,-3.77590499005715,0.000197150279016762,0.190095142332569,-0.071087359255543
ENSG00000179115.11,-0.0415230750353825,6.26473122974603,-3.76401726025578,0.000206260385248121,0.190095142332569,-0.229711396202075
ENSG00000144959.11,0.0986525385559016,5.82107933375462,3.75313460088399,0.000214947634983749,0.190095142332569,0.0647034451519577
ENSG00000174917.9,-0.0641324727618147,6.2591382288199,-3.74913733001622,0.000218224415945724,0.190095142332569,-0.274320069590468
ENSG00000104976.12,-0.0509300815819646,5.96807497727049,-3.73752075384901,0.000228016931186259,0.190095142332569,-0.0531952099341781
ENSG00000158470.5,0.0460644081805579,6.2234797831415,3.73025653387019,0.000234349748918301,0.190095142332569,-0.353720369013633
ENSG00000170445.16,-0.037203177327826,6.23335709945421,-3.689003115143,0.000273578592029516,0.203882799933437,-0.4796591982743
ENSG00000130312.7,-0.0562653957771825,6.2844937627145,-3.68766066833977,0.000274953675907359,0.203882799933437,-0.503635440285829
ENSG00000122033.14,-0.0474613155258204,6.12929105856757,-3.68134679587712,0.000281508871154211,0.203882799933437,-0.43186124626616
ENSG00000120057.5,0.798948596341652,3.9893661729349,3.63560265773493,0.00033358947951685,0.229444980724802,-0.447948569897076
ENSG00000130699.18,0.0385964987311414,6.05586286362753,3.61797761700096,0.000355976763383512,0.229444980724802,-0.623579500368286
ENSG00000175970.11,0.0665881123858015,5.91834847020711,3.61741293487496,0.000356716865690642,0.229444980724802,-0.489242975617973
ENSG00000105364.14,-0.049733788061126,6.17456973571368,-3.60784082875556,0.000369484872825373,0.229444980724802,-0.722011051691948
ENSG00000104435.14,0.518606159741528,4.06935988696273,3.59824292563397,0.000382717812580334,0.229444980724802,-0.084267558274381
ENSG00000132749.11,0.17309971222364,5.4553092866924,3.596839248539,0.00038469004115801,0.229444980724802,-0.129853501513471
ENSG00000142149.9,0.313154998184098,5.233061293517,3.57302130483819,0.000419646380012573,0.235953536827641,-0.156089417599305
ENSG00000125652.8,-0.0680000737970429,6.28944353133731,-3.55286665525384,0.00045153477803442,0.235953536827641,-0.966538243901725
ENSG00000125656.11,-0.0523878153258192,6.25799713538042,-3.55273539968983,0.00045174971222145,0.235953536827641,-0.957287461728435
ENSG00000140455.17,0.0331550219043958,5.99532051605226,3.53654892409262,0.000479004063645589,0.235953536827641,-0.836516977197732
ENSG00000183778.17,0.588571822231138,3.69687374905208,3.53577368744043,0.000480347327563879,0.235953536827641,-1.31112403688832
ENSG00000171159.5,-0.0685317530467583,6.16787115721428,-3.53426228267029,0.000482976326512172,0.235953536827641,-0.956655118341904
ENSG00000287562.1,0.126126011367006,5.2631763573158,3.53361723702417,0.000484102449255776,0.235953536827641,-0.250083047616539
ENSG00000211967.3,0.465110195269389,3.76415149592213,3.51885536603334,0.000510556782360368,0.235953536827641,-0.744925826742989
ENSG00000167815.12,-0.0497789208648008,6.40983959331893,-3.50364408777307,0.000539230138864044,0.235953536827641,-1.17062820899093
ENSG00000134480.16,-0.0479521579481646,6.0375598234122,-3.49652937426745,0.000553153187248676,0.235953536827641,-0.967068143981324
ENSG00000189079.17,0.0368406269381008,6.00183676401051,3.49114463258471,0.000563913920959473,0.235953536827641,-0.996330155279414
ENSG00000104980.8,-0.0409640724138464,6.19389897089716,-3.49067263198606,0.000564866442747712,0.235953536827641,-1.1315151866449
ENSG00000230445.4,0.354481260123423,4.66642107553675,3.48996206970185,0.000566303236687957,0.235953536827641,-0.499094992335717
ENSG00000109536.12,-0.0527670303579234,6.04102576487146,-3.47948623236364,0.000587887100773362,0.235953536827641,-1.03137886860224
ENSG00000130165.10,-0.0449964457262703,6.21617715615075,-3.47664812350153,0.000593865826210796,0.235953536827641,-1.19177426411371
ENSG00000173141.5,-0.0546385700904181,6.26788820504281,-3.47455563321007,0.000598310242820385,0.235953536827641,-1.22191624935556
ENSG00000149177.13,0.0387560479942897,6.23875760055866,3.47407165793054,0.000599342622775454,0.235953536827641,-1.23502163334383
ENSG00000228300.14,-0.0616076875986056,6.27292008749353,-3.47141521612245,0.000605038903054261,0.235953536827641,-1.23408870269914
ENSG00000141971.13,-0.0551642588419693,6.13778670752701,-3.44082927339865,0.000674379938989585,0.247692679844611,-1.24507220335767
ENSG00000164615.6,-0.0446753291913112,6.18252873174937,-3.42498595781471,0.000713154136525465,0.247692679844611,-1.33930343928082
