clinical_variable,n_total,test_type,p_value,abnormal_fraction_group0,abnormal_fraction_group1,abnormal_fraction_group1_minus_group0
nafld_status,68,fisher_exact,0.24094600526777873,0.1746031746031746,0.4,0.22539682539682543
hbv_status,68,fisher_exact,0.5269837976092036,0.24,0.16279069767441862,-0.07720930232558137
fibrosis_present,68,fisher_exact,0.5351431439022292,0.14285714285714285,0.225,0.08214285714285716
obesity_class,39,fisher_exact,0.7089397089397089,0.18181818181818182,0.23529411764705882,0.053475935828877
alcohol_status,68,fisher_exact,0.7540987199138757,0.17073170731707318,0.2222222222222222,0.051490514905149026
hcv_status,68,fisher_exact,1.0,0.1836734693877551,0.21052631578947367,0.02685284640171856
