clinical_variable,n_group0,n_group1,median_group0_adjusted,median_group1_adjusted,median_group1_minus_group0_adjusted,p_value_mannwhitney_adjusted
hcv_status,49,19,0.07058369745659582,0.09252084651627124,0.02193714905967542,0.0003607676481287
hbv_status,25,43,0.08781477774389507,0.0712643537623817,-0.016550423981513365,0.0179920175628769
alcohol_status,41,27,0.07197391480872949,0.07897648841115507,0.00700257360242558,0.248855042605977
nafld_status,63,5,0.07896671097536359,0.07307452398131736,-0.005892186994046228,0.4778442858721611
fibrosis_present,28,40,0.07371827834479533,0.08198336303808854,0.008265084693293206,0.8370967573962124
