clinical_variable,n_group0,n_group1,median_group0_adjusted,median_group1_adjusted,median_group1_minus_group0_adjusted,p_value_mannwhitney_adjusted,track
hcv_status,49,24,0.0717142153216515,0.0895348256912704,0.0178206103696189,0.0002319904012683,Abnormal-like score
hbv_status,25,80,0.0847114250645495,0.0713987426860809,-0.0133126823784685,0.0081805155690168,Abnormal-like score
hcv_status,49,24,0.0796404165582389,0.0924764208928772,0.0128360043346382,0.0018226243970431,Normal-like score
hbv_status,25,80,0.0887020137636592,0.0805641527803339,-0.0081378609833253,0.0267130919577864,Normal-like score
