clinical_variable,n_group0,n_group1,median_group0_adjusted,median_group1_adjusted,median_group1_minus_group0_adjusted,p_value_mannwhitney_adjusted
hcv_status,49,19,0.07867462256829781,0.09910561616874643,0.020430993600448616,0.0011424127353503
hbv_status,25,43,0.08869744264939736,0.0832655117122922,-0.005431930937105159,0.0633094522196433
alcohol_status,41,27,0.0832655117122922,0.08884206638558077,0.005576554673288575,0.0814670980329545
nafld_status,63,5,0.0863482800108714,0.07254423969363656,-0.01380404031723484,0.4636076993682348
fibrosis_present,28,40,0.08610289841023899,0.08649893636497397,0.0003960379547349735,0.7791896677742853
