gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000154856.13,6.32325803713901,0.289485889668612,0.0868968898815794,3.33137227423346,0.000864189476913811,0.999943183768433
ENSG00000211890.4,6.80913825865038,0.239944163587741,0.0868797087278039,2.76179751407192,0.00574841167685575,0.999943183768433
ENSG00000104413.18,3.6323189077816,0.577862567524781,0.21391990436271,2.7013034118835,0.00690682981782941,0.999943183768433
ENSG00000196569.13,6.91341981498369,0.218172678447391,0.0831008440299877,2.62539666105751,0.00865480760511923,0.999943183768433
ENSG00000129009.13,7.14663845871656,0.214475743725836,0.0847685752931701,2.53013269344302,0.0114019396719298,0.999943183768433
ENSG00000049540.18,8.82008866422943,0.182474033180664,0.0723664377276905,2.52152847245708,0.0116846218863883,0.999943183768433
ENSG00000139329.5,8.5197869983814,0.210454330064014,0.0838439174298255,2.51007272221217,0.0120706300632277,0.999943183768433
ENSG00000115380.20,8.35658255566362,0.195071906547654,0.0795004964012863,2.45371935243033,0.0141387278794763,0.999943183768433
ENSG00000211598.2,6.1843113761159,0.314152540875068,0.128070341311184,2.45296871749363,0.01416826594295,0.999943183768433
ENSG00000157992.12,6.25770160917086,0.210440475483791,0.0867115362482409,2.42690286193678,0.0152283325851053,0.999943183768433
ENSG00000211895.5,9.74468469066936,0.166082204845178,0.0704285468577761,2.35816600306357,0.0183654781597926,0.999943183768433
ENSG00000166482.12,7.21972440733384,0.211138952666183,0.089882268864128,2.34906122569463,0.0188208117630607,0.999943183768433
ENSG00000162591.16,8.42987256379498,0.171884370983954,0.0739607267248123,2.32399516061394,0.0201257534145296,0.999943183768433
ENSG00000011465.18,9.57284077295806,0.164712680035655,0.0709645806621476,2.32105479238762,0.0202838868486856,0.999943183768433
ENSG00000186340.16,7.13842600381442,0.199373197226558,0.0877135649283124,2.27300301144417,0.0230259984650139,0.999943183768433
ENSG00000146678.10,13.7268202740833,-0.138717942993915,0.061293677522753,-2.26316887157605,0.0236252813198846,0.999943183768433
ENSG00000253898.1,4.50122129565248,-0.655484775791328,0.296695181206619,-2.20928689547825,0.0271546920998684,0.999943183768433
ENSG00000163710.9,9.12897381546269,-0.166751200094202,0.0757802858661491,-2.20045620293298,0.0277745440387075,0.999943183768433
ENSG00000137077.8,7.52329253328917,0.201594820586142,0.0922739469975665,2.1847425751871,0.0289077266268413,0.999943183768433
ENSG00000052344.16,6.08845822259168,0.308575727283192,0.142118602493366,2.17125500722255,0.0299119013423194,0.999943183768433
ENSG00000125046.15,6.17524452148348,-0.216249800968516,0.100835099268232,-2.14458856626171,0.03198575728029,0.999943183768433
ENSG00000167608.12,7.27386367320409,0.169658483336252,0.0798497422989994,2.12472173925072,0.033609838387821,0.999943183768433
ENSG00000091986.16,8.60843522080555,0.155781165102619,0.0739065274676783,2.10781334802595,0.0350471378032405,0.999943183768433
ENSG00000145555.15,8.42719611776361,0.153535975412702,0.0736419078060996,2.08489948165065,0.0370784257462735,0.999943183768433
ENSG00000130829.18,8.24800414794672,-0.166567864251614,0.0799665398050245,-2.08296951021943,0.0372540028271561,0.999943183768433
ENSG00000188783.6,8.05319821878964,0.158628624411147,0.0764222267208122,2.07568702480567,0.0379229067626375,0.999943183768433
