gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000240405.7,1.66808807302823,-0.469655263330538,0.11618303065607,-4.0423740083079,5.29127451077389e-05,0.999985941721906
ENSG00000120669.16,1.38447595909663,-0.684369558747401,0.185028042873373,-3.69873424654748,0.000216677322839907,0.999985941721906
ENSG00000213973.9,2.74709218027689,-0.292408368223363,0.0826113947283854,-3.53956459862178,0.000400787667988866,0.999985941721906
ENSG00000251003.9,4.75873358460075,-0.169449290420635,0.0492989470004558,-3.43717869712446,0.000587807658086516,0.999985941721906
ENSG00000144681.10,3.55135738465408,-0.170402185830391,0.0508384724519272,-3.35183528560036,0.000802777657660807,0.999985941721906
ENSG00000234511.10,3.23579630051622,-0.22945368826401,0.0694462318001179,-3.30404807167118,0.000952994894896051,0.999985941721906
ENSG00000269289.6,2.15654059263309,-0.315088432353032,0.0959437018465663,-3.28409709328209,0.00102309668923133,0.999985941721906
ENSG00000187545.5,3.11412452598428,-0.285080500670202,0.086811167922735,-3.28391504793408,0.00102375776722406,0.999985941721906
ENSG00000286769.1,1.45625917386745,-0.599960431619318,0.183813184310645,-3.26396843550342,0.00109863404294273,0.999985941721906
ENSG00000253877.6,2.90932897387668,-0.45654603071702,0.140549919434622,-3.24828383078076,0.0011610339192365,0.999985941721906
ENSG00000237978.6,4.28558958975749,-0.164665056195858,0.0508056808959365,-3.24107566894214,0.00119079570418752,0.999985941721906
ENSG00000204832.10,5.52565105386917,-0.185268940617325,0.0582206917830495,-3.18218377252715,0.00146169039208946,0.999985941721906
ENSG00000225548.7,3.43106032902034,-0.389949124470777,0.122949709366516,-3.17161485358481,0.00151593909818531,0.999985941721906
ENSG00000257842.6,2.11496473382461,-0.390361610014603,0.12404678360143,-3.14689021900688,0.00165016906048386,0.999985941721906
ENSG00000231760.5,2.91878062291299,0.172112076944899,0.0550357240835639,3.12727923200521,0.00176432270283039,0.999985941721906
ENSG00000120498.14,3.28214636172975,-0.239494223191858,0.077992079509638,-3.07075057746425,0.00213521437036891,0.999985941721906
ENSG00000154645.14,2.44058615072316,-0.240134321612545,0.0784845026753182,-3.05963997256827,0.00221603207993716,0.999985941721906
ENSG00000185008.17,3.84609883831738,0.175484654561065,0.057813695660514,3.03534746492463,0.00240258718688762,0.999985941721906
ENSG00000263711.6,2.87841855728878,-0.331663782482043,0.110344721228449,-3.0057059258448,0.00264965114892011,0.999985941721906
ENSG00000237438.7,2.7839973179932,-0.24521519703506,0.0816059137577527,-3.0048704284224,0.00265694008527054,0.999985941721906
ENSG00000279379.1,1.645972412029,-0.393156481054195,0.130921246839263,-3.00299982276281,0.00267332587103526,0.999985941721906
ENSG00000224689.9,3.4265319545623,-0.168313450403881,0.0560691307610528,-3.00189155992403,0.00268307734111527,0.999985941721906
ENSG00000254560.6,1.96938618405825,-0.305226928917348,0.101847111036117,-2.99691297879927,0.00272728553410686,0.999985941721906
ENSG00000249001.5,2.32145171698638,-0.298279110444261,0.10000545158319,-2.98262850396847,0.00285784648148925,0.999985941721906
ENSG00000253819.2,5.56386511982144,-0.117264520282778,0.0393450134438483,-2.98041632264617,0.00287856870319715,0.999985941721906
ENSG00000136944.19,1.92689139363693,0.286443668380018,0.0968988754563672,2.956109315314,0.0031154664946666,0.999985941721906
ENSG00000286797.1,2.08887863989611,-0.335421239038265,0.114666395298991,-2.92519214686796,0.0034424359492209,0.999985941721906
ENSG00000255501.3,2.26052030482063,-0.408480758290404,0.140491063751696,-2.90752128556983,0.00364305550380006,0.999985941721906
ENSG00000198930.13,3.37954188896596,-0.290179592470822,0.101236741305815,-2.86634663194314,0.00415239304736903,0.999985941721906
ENSG00000117069.15,2.71983691695314,-0.178312355883385,0.0632421815307299,-2.81951620844611,0.0048096101903392,0.999985941721906
ENSG00000203740.4,1.20061698562572,-0.402021655486383,0.143455104596985,-2.8024214029595,0.00507205735664735,0.999985941721906
ENSG00000229131.1,1.43447419601127,-0.57028042998102,0.203592457999788,-2.80108819149682,0.00509305982826812,0.999985941721906
ENSG00000215146.5,4.04494224380509,-0.137620669675416,0.0493598834285738,-2.78810767198346,0.00530169198143664,0.999985941721906
ENSG00000260289.2,2.57634296078448,-0.248590040497999,0.0892426941914645,-2.7855506016511,0.00534368988293139,0.999985941721906
ENSG00000253706.5,1.72885319208876,-0.457513993927344,0.164618473928176,-2.77923845975488,0.00544865105793004,0.999985941721906
ENSG00000270533.2,1.40755167659115,-0.327970125483707,0.119206211366782,-2.75128386116212,0.00593621790411171,0.999985941721906
ENSG00000237700.2,2.49991632227193,-0.275766585493524,0.100530075967584,-2.7431252074498,0.00608574758044779,0.999985941721906
ENSG00000228215.3,0.943002456792834,-0.623944258576688,0.228024075021961,-2.7363086924773,0.00621327104449555,0.999985941721906
ENSG00000285711.1,3.11030287636133,-0.272185875064403,0.0997531629203723,-2.72859393222122,0.00636049726002713,0.999985941721906
ENSG00000255325.2,2.25107511066839,-0.186794926138494,0.0686551981153005,-2.72076887499163,0.00651302812824203,0.999985941721906
ENSG00000258125.1,1.54959935123528,-0.516000178132855,0.189727861873861,-2.71968583336438,0.00653439665685779,0.999985941721906
ENSG00000204118.2,1.87211875177532,-0.348084421688177,0.12817318034165,-2.71573523228765,0.00661287797002873,0.999985941721906
ENSG00000155980.13,2.54421170010122,-0.166197384892181,0.061498250218398,-2.70247339236427,0.00688256928461396,0.999985941721906
ENSG00000128285.4,6.35781149120869,-0.0994046008683325,0.0367901640168144,-2.70193415889369,0.00689374121853509,0.999985941721906
ENSG00000226476.6,2.87787451085964,-0.267248945421706,0.0999788678385833,-2.67305432837249,0.00751640764595291,0.999985941721906
ENSG00000180438.15,1.87647316301077,-0.252949384078454,0.0950207050387617,-2.66204490879402,0.00776675154294584,0.999985941721906
ENSG00000171502.15,3.71037043102386,-0.146413854783406,0.055164674947396,-2.65412340275771,0.00795147417966371,0.999985941721906
ENSG00000232023.3,2.10614996629605,-0.253504268570132,0.0955854385841663,-2.65212225130831,0.00799875748620397,0.999985941721906
ENSG00000215533.8,2.32888121678046,-0.204236280066403,0.0771970670284448,-2.64564818234802,0.0081534567184991,0.999985941721906
ENSG00000283023.1,4.12670535136938,-0.136349377856469,0.0516447631916925,-2.64013947261939,0.00828719142411603,0.999985941721906
ENSG00000189229.11,2.18682368903673,-0.305689408836071,0.11613710334108,-2.63214252845879,0.00848482596659916,0.999985941721906
ENSG00000243944.5,2.50703752261876,-0.240406387249048,0.0915842771154868,-2.62497444780722,0.00866554700931591,0.999985941721906
ENSG00000231419.6,1.95457341974942,-0.310692762080721,0.119583436894481,-2.59812537713624,0.00937342621563387,0.999985941721906
ENSG00000249803.6,2.08751999438306,-0.388574459840013,0.149716029524064,-2.5954098640958,0.00944781800322484,0.999985941721906
ENSG00000198883.12,2.24800388714448,-0.279757507531484,0.108012814567281,-2.59003997490708,0.00959647874669906,0.999985941721906
ENSG00000236056.1,2.54631055081836,-0.180151996966311,0.0695778954760375,-2.58921307886289,0.00961955502139669,0.999985941721906
ENSG00000248837.7,1.89574764271725,-0.30922863684154,0.119777655051633,-2.58168885263482,0.00983181821119683,0.999985941721906
ENSG00000227674.3,2.9506318813575,-0.263717175071641,0.102350336977954,-2.57661267034661,0.00997736827817434,0.999985941721906
ENSG00000236449.2,2.78914882688036,-0.225818465402376,0.0878448392629084,-2.57065147249607,0.0101507425495306,0.999985941721906
ENSG00000147804.10,8.0505120298721,-0.0840595745447424,0.0327225568270998,-2.56885716445993,0.0102034504575623,0.999985941721906
ENSG00000104321.11,1.84838237028712,-0.194121456939072,0.0756422364655379,-2.56631038437782,0.0102786806064578,0.999985941721906
ENSG00000251129.2,3.70071484715436,-0.287443605228757,0.112037050413876,-2.56561203786526,0.0102993953502713,0.999985941721906
ENSG00000259996.1,1.62375532039323,-0.491575089337225,0.191621360986563,-2.56534598651397,0.010307296882731,0.999985941721906
ENSG00000082929.8,2.19925082830978,-0.261622074528176,0.102337790836037,-2.55645614773274,0.0105744398586662,0.999985941721906
ENSG00000230267.7,2.33074281212137,-0.201334525689177,0.0790302675747939,-2.54756224251214,0.010847849958481,0.999985941721906
ENSG00000287097.1,3.70735896399672,-0.21122927277373,0.0837216185297987,-2.5229955713117,0.0116359866432219,0.999985941721906
ENSG00000160321.15,3.40222364901056,-0.129756206923923,0.0516842506361502,-2.51055602677474,0.0120541192322436,0.999985941721906
ENSG00000067715.14,5.70012480217932,-0.107235471767802,0.0427725954225285,-2.50710696202739,0.0121723870770499,0.999985941721906
ENSG00000269416.6,3.25872203562883,-0.190214411126903,0.0759882128472724,-2.50320943208932,0.0123072692322503,0.999985941721906
ENSG00000286789.1,2.17973713222678,0.246059261596619,0.098735024271366,2.49211729487546,0.0126984094620688,0.999985941721906
ENSG00000267924.1,1.49546278739705,-0.287660215171441,0.115469448774722,-2.49122359397991,0.0127303977287491,0.999985941721906
ENSG00000257869.1,1.86133794641094,-0.34226783313659,0.137458378226096,-2.48997432934656,0.012775232220827,0.999985941721906
ENSG00000229672.3,1.77472455335241,-0.258593269002687,0.104183472400972,-2.48209493351726,0.013061247279569,0.999985941721906
ENSG00000278630.1,1.81242740069786,-0.359405215600212,0.145138327580249,-2.47629431585873,0.0132754092398647,0.999985941721906
ENSG00000185155.12,1.75458759810111,0.210345735376725,0.0851315211806689,2.47083257129075,0.0134798913499315,0.999985941721906
ENSG00000091138.13,4.23580046939872,0.146268429701463,0.0592143279685367,2.47015265932229,0.0135055403656198,0.999985941721906
ENSG00000196711.9,1.20543107767591,0.314519688782646,0.127777593819067,2.461461977661,0.0138372063614574,0.999985941721906
ENSG00000188580.15,2.87182340305063,-0.211386570388141,0.0862605089014581,-2.4505602051296,0.0142634107419568,0.999985941721906
ENSG00000106536.21,1.92744832387501,-0.293775736102559,0.120418760014605,-2.43961768138892,0.0147028129801181,0.999985941721906
ENSG00000229876.1,1.6126489756572,-0.405372333648331,0.166798918179055,-2.43030553239664,0.0150860994271124,0.999985941721906
ENSG00000250590.6,1.33032444746707,-0.39881663879299,0.164249141611255,-2.42812007953691,0.0151773172713903,0.999985941721906
ENSG00000225210.10,3.00397280620753,-0.132840586165547,0.0547584614987213,-2.42593715253759,0.0152689141854935,0.999985941721906
ENSG00000286610.1,1.48375773877173,-0.288955454555633,0.119493718803895,-2.41816438092321,0.0155990281777948,0.999985941721906
ENSG00000175928.6,2.44844547306621,0.180974150099929,0.0749446394028808,2.41477111027333,0.0157451005669624,0.999985941721906
ENSG00000196104.11,1.6095018744524,-0.33645404377138,0.139454458524634,-2.41264458182919,0.015837254730408,0.999985941721906
ENSG00000236279.7,2.29308556056805,-0.265601638641735,0.11034419065091,-2.40702874410493,0.0160829039651607,0.999985941721906
ENSG00000182583.12,1.914005031729,-0.327691622815423,0.13620949427659,-2.40579134777496,0.0161374785893114,0.999985941721906
ENSG00000286449.1,1.96023362691297,-0.193772418433788,0.0806436867692386,-2.40282192192263,0.0162691078189528,0.999985941721906
ENSG00000278530.4,1.38203702799225,-0.369246176341906,0.154083097082371,-2.39640936179074,0.0165565877498479,0.999985941721906
ENSG00000137948.18,1.07659818694456,-0.38032335917424,0.158989536249786,-2.39212823777735,0.0167509884692527,0.999985941721906
ENSG00000249345.8,3.05134830139792,-0.18617092373659,0.0778816616294056,-2.39043338112727,0.0168285018596894,0.999985941721906
ENSG00000257893.3,2.25516186977419,-0.384172651976329,0.160713499941448,-2.3904192996624,0.0168291471848191,0.999985941721906
ENSG00000188368.10,4.83938328177577,-0.101336699478681,0.0424089224335063,-2.38951366042296,0.0168706964550203,0.999985941721906
ENSG00000268080.2,1.8532630896988,-0.319249650640836,0.133612800032948,-2.38936427170235,0.0168775588131778,0.999985941721906
ENSG00000221867.9,3.62605850636586,-0.337415562839324,0.14145482453003,-2.38532382306757,0.0170640934713797,0.999985941721906
ENSG00000232679.2,2.38669097240755,-0.179399400995805,0.0753177964498475,-2.38189922504256,0.0172236101308909,0.999985941721906
ENSG00000019505.8,3.85349566935754,-0.168164330074808,0.0709772267299837,-2.36927163573958,0.017823157961565,0.999985941721906
ENSG00000287394.1,1.63197785342574,-0.474846825398635,0.200659119271537,-2.36643531140023,0.0179603126500045,0.999985941721906
ENSG00000161249.21,5.89432918850206,0.099542802127234,0.0421314136135908,2.3626741566327,0.0181436142927135,0.999985941721906
ENSG00000253898.1,4.49123622604254,-0.292060852789432,0.123805357640745,-2.3590324227884,0.0183226548263333,0.999985941721906
ENSG00000186462.9,4.92914892565616,-0.103486768766089,0.0439013091680771,-2.35725928741414,0.0184103869360988,0.999985941721906
ENSG00000237880.2,1.10048339991042,-0.409159872108826,0.173756101608609,-2.35479426806243,0.0185329632305384,0.999985941721906
ENSG00000138944.8,2.71192720879286,0.135477884016122,0.0575449604263532,2.35429624092815,0.0185578148166672,0.999985941721906
ENSG00000160181.9,2.16069822925888,-0.289309264694917,0.123035738157944,-2.35142462691225,0.0187016781278198,0.999985941721906
ENSG00000132429.10,2.0286818934873,-0.275857993775384,0.117705861833494,-2.34362154508168,0.0190975386026384,0.999985941721906
ENSG00000215270.3,2.33989603425434,-0.144213944875863,0.0615767148158419,-2.34202076721964,0.0191796476816912,0.999985941721906
ENSG00000187642.9,1.71512719317351,-0.208296663215659,0.0889481515132147,-2.34177618839795,0.0191922200580456,0.999985941721906
ENSG00000159556.10,2.23257520293652,-0.164126529810751,0.070277795699316,-2.3353966665797,0.019522708408248,0.999985941721906
ENSG00000253642.6,1.8540108416764,-0.364596154173106,0.156187758944337,-2.33434525623127,0.0195776508091446,0.999985941721906
