gene,logFC,AveExpr,t,pvalue,padj,B
ENSG00000111432.4,0.663443026895886,3.96880824525763,5.32452029563619,2.16721836988025e-07,0.00439490213228016,5.51125518764184
ENSG00000172927.8,0.549390996744156,4.51226086640493,4.9573920448255,1.27966691765531e-06,0.0110549182152587,4.87883660039837
ENSG00000145555.15,0.144260005921015,5.86636163352544,4.90505369426636,1.63542357343932e-06,0.0110549182152587,4.32126732450761
ENSG00000204351.12,-0.0495742961636028,6.31123143625397,-4.58785057007654,6.92843868452008e-06,0.0351254520208457,2.63179082581996
ENSG00000167642.13,0.286840489946909,5.38087919577269,4.46844386556662,1.17014288241376e-05,0.0458422304464175,2.90721749516828
ENSG00000233608.4,0.626145414209017,4.14523587699516,4.39177058505419,1.62899848478649e-05,0.0458422304464175,2.31091601206609
ENSG00000267278.6,0.18095622733288,5.17654076707879,4.38643146138676,1.66668552878759e-05,0.0458422304464175,2.7312443493713
ENSG00000221890.6,0.271128799198227,5.36486506389586,4.32322917330933,2.18131480854661e-05,0.0458422304464175,2.35112061466283
ENSG00000138944.8,0.562166271239826,4.07211831079736,4.30002435774183,2.4059817189574e-05,0.0458422304464175,1.87451322199521
ENSG00000136828.19,0.141704089711137,5.66549553506861,4.2933872124835,2.47420988105007e-05,0.0458422304464175,1.99787487718255
ENSG00000148948.8,0.563735650302707,4.17136469051474,4.29219747427997,2.48663412846093e-05,0.0458422304464175,1.9721323897994
ENSG00000138615.6,0.302736353784441,4.91614091892158,4.22700845238108,3.2665009724831e-05,0.0547714592805368,2.13938102176543
ENSG00000154856.13,0.258143695114655,5.39964688417613,4.19422214026965,3.7422166984308e-05,0.0547714592805368,1.79320437027415
ENSG00000180447.7,0.2948955617811,5.0598088326339,4.18680366721066,3.85868269263045e-05,0.0547714592805368,1.97249303157965
ENSG00000123610.5,0.510932040024786,4.24364421154591,4.17498875278637,4.05134320828469e-05,0.0547714592805368,1.63576402109724
ENSG00000284773.1,0.18432952720483,4.77669612173646,4.11888994907078,5.09832576044466e-05,0.0629752972504706,1.69534802213463
