gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000231760.5,2.91878062291299,0.173556061255868,0.0541451608408636,3.20538453595071,0.00134882150779639,0.999992042811649
ENSG00000262585.1,2.55520118872335,0.2084592287535,0.0694260344213891,3.00260889867673,0.00267676186096025,0.999992042811649
ENSG00000254560.6,1.96938618405825,-0.320442852874539,0.107870275884823,-2.97063162438452,0.00297188022209041,0.999992042811649
ENSG00000141434.12,2.40170575237437,0.236623843614148,0.0800342765622251,2.95653129856403,0.00311120653604266,0.999992042811649
ENSG00000183778.17,2.4177002044392,0.258862999349814,0.0890202198475981,2.9079123798277,0.00363850267522378,0.999992042811649
ENSG00000183742.13,3.7742813352306,0.152602245694865,0.0528915518831608,2.88519130676991,0.00391175876416443,0.999992042811649
ENSG00000183036.11,1.78007775654799,-0.395661310153594,0.141226584544856,-2.80160644986726,0.00508488623012604,0.999992042811649
ENSG00000123572.17,2.52825715396505,0.188268131898316,0.0675665277873502,2.78641123147317,0.0053295212794429,0.999992042811649
ENSG00000187123.15,3.7505632994629,0.156733097435376,0.0571340644556793,2.74325131475565,0.00608341073735709,0.999992042811649
ENSG00000213973.9,2.74709218027689,-0.225330905072212,0.0821760170468157,-2.74205191697039,0.00610566903706149,0.999992042811649
ENSG00000150625.16,4.26492187640566,0.131403206782016,0.0479554600824069,2.74010939643185,0.00614187376598718,0.999992042811649
ENSG00000147804.10,8.0505120298721,-0.088060901631755,0.0323590598841503,-2.72136773895857,0.00650123948242324,0.999992042811649
ENSG00000111432.4,2.55485858380839,0.175167202391629,0.0650153930183769,2.69424199807755,0.00705489216845923,0.999992042811649
ENSG00000230445.4,3.92699139849913,0.1258061109027,0.046937555366692,2.68028681766361,0.00735591021095183,0.999992042811649
ENSG00000110427.17,2.7972568282343,0.170775049861093,0.0645981014632349,2.64365431789489,0.0082016369833231,0.999992042811649
ENSG00000138944.8,2.71192720879286,0.164179149716183,0.0621268795557664,2.64264278022869,0.00822617733255335,0.999992042811649
ENSG00000144730.19,4.62108862573056,0.112918143993746,0.0428146503688827,2.6373716244525,0.00835512433344107,0.999992042811649
ENSG00000176884.16,2.02521899436532,0.200588803156867,0.0763541841174966,2.62708331541064,0.00861202450012503,0.999992042811649
ENSG00000267924.1,1.49546278739705,-0.299874542010336,0.114459370845355,-2.61992128556686,0.00879500649833525,0.999992042811649
ENSG00000136944.19,1.92689139363693,0.276336811694284,0.105754186427022,2.61301061480886,0.00897485147308579,0.999992042811649
ENSG00000148948.8,2.99559124158851,0.155039104267581,0.0594981137826605,2.60578183762128,0.00916648256603968,0.999992042811649
ENSG00000235269.2,3.87598482668964,0.144982575403719,0.0557965887857206,2.59841288793666,0.00936558049806088,0.999992042811649
