gene,logFC,AveExpr,t,pvalue,padj,B
ENSG00000211935.3,0.971651182605357,4.21230227122221,5.70238942217509,3.15982432413205e-08,0.000640780774690738,7.69109692965336
ENSG00000181634.8,0.272280017447805,5.25655434465636,4.81720113637384,2.4576081414515e-06,0.0167654130147936,4.45129330680793
ENSG00000111432.4,0.64399173248473,3.96880824525763,4.74635178186546,3.39912402189081e-06,0.0167654130147936,3.26403529119502
ENSG00000104435.14,0.873070559964729,4.06935988696273,4.73388893060593,3.5973123484551e-06,0.0167654130147936,3.61396050269401
ENSG00000224041.3,0.857516865769466,3.19618196009072,4.70321587313729,4.13368830188707e-06,0.0167654130147936,1.92069556245192
ENSG00000239951.1,0.534603499677028,5.26201948412132,4.56285812390437,7.73863603511512e-06,0.0261553000260166,3.35185621193636
ENSG00000241351.3,0.62583623920183,4.85305249388712,4.43990665101512,1.32418061710505e-05,0.0362866651417102,2.9529775925968
ENSG00000233608.4,0.639146895359713,4.14523587699516,4.42184924685465,1.43149721945698e-05,0.0362866651417102,2.4021306731728
ENSG00000244575.3,0.771509766453617,4.05293750309527,4.36985254593388,1.78912894531484e-05,0.0380047542760818,2.17898086006225
ENSG00000163600.13,0.560665881677097,4.68827893019077,4.35236964497215,1.92754693654717e-05,0.0380047542760818,2.55448899320489
ENSG00000276775.1,0.792666201651531,3.91779977606616,4.33655970444409,2.06150351120321e-05,0.0380047542760818,1.88675138244894
ENSG00000144959.11,0.122107908330238,5.82107933375462,4.28399884867923,2.57391267471938e-05,0.0434969792755286,1.79078947962096
ENSG00000211598.2,0.511317482037326,5.15918535658233,4.24792701268952,2.99381821721824e-05,0.0442785388776681,2.11887032081613
ENSG00000197506.8,0.733681239238781,3.6447574363897,4.24293455430294,3.05685459976998e-05,0.0442785388776681,1.19193040814186
ENSG00000232810.4,0.401141911875399,4.52256763267299,4.19584832999377,3.71717159780721e-05,0.0483608037004756,1.86880537023741
ENSG00000211967.3,0.767276983011785,3.76415149592213,4.1858513822702,3.87391521671861e-05,0.0483608037004756,1.21450446196794
ENSG00000254395.1,0.754893956114769,3.22001425563838,4.17482491822822,4.05411343216177e-05,0.0483608037004756,0.454807515701341
ENSG00000226278.1,0.597561069537049,4.83631216054912,4.14478316934536,4.5865468735286e-05,0.0516725466934924,1.76217125707914
ENSG00000130700.7,0.800463876296983,3.63668445992806,4.09963177430048,5.51386657830264e-05,0.0588503686007364,0.852558492914967
ENSG00000134627.12,0.265566774682062,5.18306578995241,4.08250957283915,5.91019905592471e-05,0.0599264633275486,1.56258066583096
ENSG00000243466.1,0.510832862673935,5.07323129425176,4.03505290002048,7.15543427115309e-05,0.0690976436117683,1.39003518649031
ENSG00000149256.16,0.44216437744252,4.39642699645425,4.00889322733609,7.94473979224642e-05,0.0704759090495521,1.17756507014465
ENSG00000141994.16,-0.0515877673455676,6.05293621226071,-4.00736804193776,7.99322406499186e-05,0.0704759090495521,0.520830311818274
ENSG00000158470.5,0.0513554232385927,6.2234797831415,3.97960618785416,8.92646318327257e-05,0.0741035615188082,0.220707414353123
ENSG00000101115.13,0.445468738467676,5.01673688798182,3.97376719300318,9.13550489654424e-05,0.0741035615188082,1.15650258248047
ENSG00000117215.15,0.54234216754488,4.72965430988461,3.96297250339711,9.53426800950424e-05,0.0743636234479756,1.17614541872945
ENSG00000036828.17,0.665364921994336,3.84783604544032,3.95034239835886,0.00010021816441839,0.0748873297349272,0.570676704215604
ENSG00000163075.13,0.382155462013493,4.95150836015172,3.93659641262121,0.000105793040145089,0.0748873297349272,1.07564548141522
ENSG00000211653.2,0.560602417357982,4.87681060526745,3.92926894619891,0.000108883807520483,0.0748873297349272,1.05736198624217
ENSG00000227471.9,0.742450595974297,4.74058783937339,3.92307553583196,0.000111562848646238,0.0748873297349272,1.04011364456421
ENSG00000180828.3,0.552966664121666,4.32217082212632,3.90975615497166,0.000117537681710023,0.0748873297349272,0.81552430410775
ENSG00000224650.2,0.568914861898041,4.54075629903582,3.89712307057236,0.000123484070906411,0.0748873297349272,0.895478145800855
ENSG00000124787.14,-0.0905349684605299,5.82863487353619,-3.89581418769657,0.000124116211505706,0.0748873297349272,0.462174292219753
ENSG00000180543.5,0.170560376501659,5.29153382603281,3.89016727107326,0.000126878794065122,0.0748873297349272,0.823294899388184
ENSG00000242766.1,0.709331452993565,2.79769658153788,3.88401722481852,0.000129953785160622,0.0748873297349272,-0.7846126621565
ENSG00000146555.19,0.340823163153365,5.18085601715352,3.86568751038945,0.000139542924948489,0.0748873297349272,0.746647194863149
ENSG00000127445.14,-0.0510473701262289,6.19488478955958,-3.86479256354248,0.000140027867346253,0.0748873297349272,-0.154357530572453
ENSG00000267278.6,0.168485499176669,5.17654076707879,3.86423951093298,0.000140328346068703,0.0748873297349272,0.792866466027669
ENSG00000127152.18,0.263437993719931,5.27774155649057,3.85488446649854,0.000145504503541911,0.0756586109570875,0.694700155557661
ENSG00000124171.9,0.0745175063641344,5.86773162955946,3.8434965909214,0.000152049536237248,0.0770853136338786,0.0768816359466884
ENSG00000211964.3,0.653900160281331,4.36551445235947,3.80662582708988,0.000175205113761362,0.0866581585845529,0.546326454294557
ENSG00000073282.14,0.349523567479936,4.76346099090062,3.78517832283696,0.000190169476514953,0.0918201622439699,0.568693210141597
ENSG00000184967.7,-0.0493570478613246,6.10050298929316,-3.75651649309738,0.000212060180761196,0.0936295641469832,-0.459620207227119
ENSG00000156966.7,0.197654855127225,5.34493037937811,3.75457851982973,0.000213623136859237,0.0936295641469832,0.298880384248275
ENSG00000102962.5,0.376606020003096,4.75825499531575,3.73936436714974,0.000226276627249894,0.0936295641469832,0.420754696144377
ENSG00000105464.3,0.21018361190786,5.14381811984856,3.73152216946076,0.000233072079293349,0.0936295641469832,0.346134965686326
ENSG00000173391.9,0.427298533449588,4.73999612632709,3.72953887819123,0.000234820912906258,0.0936295641469832,0.390460758503609
ENSG00000132465.12,0.315802137701498,5.55208154020964,3.72209967045001,0.000241491644472049,0.0936295641469832,-0.0619632887051429
ENSG00000179115.11,-0.0408836003254822,6.26473122974603,-3.72143663485197,0.000242094787026503,0.0936295641469832,-0.715800393762251
ENSG00000122033.14,-0.0477271453739223,6.12929105856757,-3.71968017714613,0.000243699457961555,0.0936295641469832,-0.621779334794478
ENSG00000268041.2,0.524474713655202,3.87898701511308,3.71602884210915,0.000247067424236749,0.0936295641469832,-0.0970642313251453
ENSG00000174917.9,-0.0630676697922973,6.2591382288199,-3.70688913708807,0.000255691350912096,0.0936295641469832,-0.757514520199639
ENSG00000245954.8,0.447365222358683,4.20220104623741,3.70660248960963,0.000255966359755026,0.0936295641469832,0.0806994842671873
ENSG00000118322.14,0.659832462668682,3.7662311806596,3.70379190126496,0.000258677647138052,0.0936295641469832,-0.17908246542668
ENSG00000211673.2,0.526026793829926,4.85605978026708,3.70007565900402,0.000262304184003566,0.0936295641469832,0.275596217341449
ENSG00000150594.7,0.343029921895438,5.09000109346678,3.69747925320564,0.000264866304466421,0.0936295641469832,0.215870763454303
ENSG00000166145.14,0.253202045025607,5.66752143782811,3.68421577526326,0.00027832690064165,0.0936295641469832,-0.328690154055019
ENSG00000196664.5,0.236781928714628,5.11978540271226,3.67632641732327,0.000286636607223896,0.0936295641469832,0.161517778148574
ENSG00000100767.17,0.19808149527548,5.64733365296006,3.6692424517562,0.000294296671230143,0.0936295641469832,-0.333288106339867
ENSG00000175832.13,0.237074400377768,5.75164019702699,3.66540435101956,0.000298527036438628,0.0936295641469832,-0.514385162264633
ENSG00000172156.4,0.630166555217345,3.8517252564042,3.66300795333297,0.000301197327808872,0.0936295641469832,-0.271559765918039
ENSG00000147138.3,0.313811246570651,5.03630428207534,3.66278476544545,0.000301447166564987,0.0936295641469832,0.142055980375368
ENSG00000148948.8,0.521645773837001,4.17136469051474,3.66224578428162,0.000302051312516546,0.0936295641469832,-0.0514119721564121
ENSG00000104980.8,-0.0429523569672374,6.19389897089716,-3.6620746683119,0.000302243355394565,0.0936295641469832,-0.881178769315272
ENSG00000170445.16,-0.0367325274346652,6.23335709945421,-3.65676061750381,0.000308264852116808,0.0936295641469832,-0.926432185817885
ENSG00000130312.7,-0.0555888160378211,6.2844937627145,-3.65583069714028,0.000309330115401892,0.0936295641469832,-0.950912789073892
ENSG00000167178.16,0.294481705326145,4.78378992476567,3.65581886202389,0.000309343695342368,0.0936295641469832,0.150129564699032
ENSG00000211972.2,0.721106076781212,3.48983324700681,3.65162799107242,0.000314187871257222,0.0936972917827237,-0.601735519521818
ENSG00000104976.12,-0.0495871850758033,5.96807497727049,-3.63577345375821,0.000333167747902745,0.0979175182568082,-0.704935416905472
ENSG00000181790.11,0.362440077969101,4.61134630340066,3.62983950365921,0.000340544974449713,0.0986558790980818,0.047050813086547
ENSG00000211938.2,0.553207652856164,4.60978232974731,3.6055167941838,0.000372419754014745,0.103940742567475,-0.0185669137564597
ENSG00000211942.3,0.690573184207723,3.46323086170348,3.60339630057451,0.000375327708723722,0.103940742567475,-0.725828772734
ENSG00000162591.16,0.161800524125408,5.85590518148228,3.59611935668641,0.000385470136429259,0.103940742567475,-0.842024799818979
ENSG00000172927.8,0.434645469725011,4.51226086640493,3.59315900320218,0.000389669459625421,0.103940742567475,-0.0612716034166256
ENSG00000271737.1,-0.138305955234209,5.39471752315967,-3.59163730656337,0.00039184471088555,0.103940742567475,-0.158468494438423
ENSG00000149177.13,0.0399090206295578,6.23875760055866,3.58404886387658,0.00040286370484723,0.103940742567475,-1.20378133279638
ENSG00000260806.1,-0.155976294305777,5.17938699287446,-3.58123520046949,0.000407022839541519,0.103940742567475,-0.103558867794305
ENSG00000211662.2,0.504536872923777,4.82925568373268,3.57901334981143,0.00041033562863692,0.103940742567475,-0.108458771141843
ENSG00000164530.15,0.55545854767596,3.69990808536913,3.57825021608301,0.000411479296049105,0.103940742567475,-0.627971331826258
ENSG00000198121.13,0.385966236434136,4.95424225987979,3.57693097952701,0.000413463429732958,0.103940742567475,-0.129744565715287
ENSG00000184384.14,0.109490420803683,5.67044268712176,3.57327456813843,0.000419009750246625,0.103940742567475,-0.616725459820196
ENSG00000285693.1,-0.139718891976889,5.32987887940986,-3.5703312869967,0.000423525022831729,0.103940742567475,-0.194963274552972
ENSG00000135925.9,0.463183035312816,4.36631269913532,3.5691051516919,0.000425419479910272,0.103940742567475,-0.222682146262718
ENSG00000187951.11,0.153818479186366,5.26015398041257,3.56437471469789,0.000432803132862417,0.104485889658535,-0.284818223855981
